2026-02-28 13:58:44,404 - Episode 0, Total Reward: 100.00, Epsilon: 0.995
2026-02-28 13:58:52,708 - Episode 100, Total Reward: 0.00, Epsilon: 0.603
2026-02-28 13:59:07,003 - Episode 200, Total Reward: 0.00, Epsilon: 0.365
2026-02-28 13:59:15,377 - Episode 300, Total Reward: 100.00, Epsilon: 0.221
2026-02-28 13:59:26,533 - Episode 400, Total Reward: 100.00, Epsilon: 0.134
2026-02-28 13:59:34,865 - Episode 500, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 13:59:49,864 - Episode 600, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 13:59:58,404 - Episode 700, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:00:13,145 - Episode 800, Total Reward: 100.00, Epsilon: 0.100
2026-02-28 14:00:21,295 - Episode 900, Total Reward: 100.00, Epsilon: 0.100
2026-02-28 14:00:32,880 - Episode 1000, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:00:41,211 - Episode 1100, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:00:55,229 - Episode 1200, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:01:03,582 - Episode 1300, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:01:17,387 - Episode 1400, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:01:25,617 - Episode 1500, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:01:37,586 - Episode 1600, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:01:45,661 - Episode 1700, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:01:58,352 - Episode 1800, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:02:07,243 - Episode 1900, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:12:15,354 - Episode 0, Total Reward: 100.00, Epsilon: 0.995
2026-02-28 14:12:23,381 - Episode 100, Total Reward: 0.00, Epsilon: 0.603
2026-02-28 14:12:35,905 - Episode 200, Total Reward: 0.00, Epsilon: 0.365
2026-02-28 14:12:44,655 - Episode 300, Total Reward: 0.00, Epsilon: 0.221
2026-02-28 14:12:57,683 - Episode 400, Total Reward: 0.00, Epsilon: 0.134
2026-02-28 14:13:06,054 - Episode 500, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:13:20,054 - Episode 600, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:13:29,984 - Episode 700, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:13:46,097 - Episode 800, Total Reward: 100.00, Epsilon: 0.100
2026-02-28 14:13:56,400 - Episode 900, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:14:09,942 - Episode 1000, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:14:21,050 - Episode 1100, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:14:34,806 - Episode 1200, Total Reward: 100.00, Epsilon: 0.100
2026-02-28 14:14:43,716 - Episode 1300, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:14:58,588 - Episode 1400, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:15:07,259 - Episode 1500, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:15:21,066 - Episode 1600, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:15:30,775 - Episode 1700, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:15:43,192 - Episode 1800, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:15:52,355 - Episode 1900, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:16:06,830 - Episode 2000, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:16:15,912 - Episode 2100, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:16:30,080 - Episode 2200, Total Reward: 100.00, Epsilon: 0.100
2026-02-28 14:16:38,941 - Episode 2300, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:16:51,847 - Episode 2400, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:17:00,682 - Episode 2500, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:17:16,698 - Episode 2600, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:17:25,251 - Episode 2700, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:17:38,413 - Episode 2800, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:17:47,409 - Episode 2900, Total Reward: 100.00, Epsilon: 0.100
2026-02-28 14:18:02,589 - Episode 3000, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:18:12,489 - Episode 3100, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:18:27,823 - Episode 3200, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:18:37,740 - Episode 3300, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:18:50,202 - Episode 3400, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:19:00,093 - Episode 3500, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:19:16,468 - Episode 3600, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:19:27,219 - Episode 3700, Total Reward: 100.00, Epsilon: 0.100
2026-02-28 14:19:44,282 - Episode 3800, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:19:53,767 - Episode 3900, Total Reward: 100.00, Epsilon: 0.100
2026-02-28 14:24:52,919 - Episode 0, Total Reward: 100.00, Epsilon: 0.995
2026-02-28 14:25:00,563 - Episode 100, Total Reward: 100.00, Epsilon: 0.603
2026-02-28 14:25:13,417 - Episode 200, Total Reward: 0.00, Epsilon: 0.365
2026-02-28 14:25:21,958 - Episode 300, Total Reward: 100.00, Epsilon: 0.221
2026-02-28 14:25:35,276 - Episode 400, Total Reward: 0.00, Epsilon: 0.134
2026-02-28 14:25:44,202 - Episode 500, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:25:58,700 - Episode 600, Total Reward: 100.00, Epsilon: 0.100
2026-02-28 14:26:08,509 - Episode 700, Total Reward: 100.00, Epsilon: 0.100
2026-02-28 14:26:24,730 - Episode 800, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:26:33,434 - Episode 900, Total Reward: 100.00, Epsilon: 0.100
2026-02-28 14:26:47,482 - Episode 1000, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:26:55,915 - Episode 1100, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:27:08,759 - Episode 1200, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:27:17,114 - Episode 1300, Total Reward: 100.00, Epsilon: 0.100
2026-02-28 14:27:31,001 - Episode 1400, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:27:39,826 - Episode 1500, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:27:54,316 - Episode 1600, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:28:02,862 - Episode 1700, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:28:17,365 - Episode 1800, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:28:25,388 - Episode 1900, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:28:39,197 - Episode 2000, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:28:47,481 - Episode 2100, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:28:58,931 - Episode 2200, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:29:07,131 - Episode 2300, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:29:20,846 - Episode 2400, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:29:29,591 - Episode 2500, Total Reward: 100.00, Epsilon: 0.100
2026-02-28 14:29:42,338 - Episode 2600, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:29:51,201 - Episode 2700, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:30:05,166 - Episode 2800, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:30:13,940 - Episode 2900, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:30:26,491 - Episode 3000, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:30:35,431 - Episode 3100, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:30:49,247 - Episode 3200, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:30:58,218 - Episode 3300, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:31:12,190 - Episode 3400, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:31:21,109 - Episode 3500, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:31:35,785 - Episode 3600, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:31:44,538 - Episode 3700, Total Reward: 0.00, Epsilon: 0.100
2026-02-28 14:31:56,718 - Episode 3800, Total Reward: 0.00, Epsilon: 0.100
